"","X","Tweet.Id","Text","Name","Screen.Name","Created.At","Favorites","Retweets","Language","Client","Tweet.Type","Media.Type","URLs","Hashtags","Mentions"
"53","53","907727511873900544","RAZZIA: The tedious we-are-all-connected ensemble drama comes to modern day Casablanca, complete with MAGNOLIA-biting music montage. #TIFF17","AADowd","AADowd","Tue Sep 12 22:07:58 +0000 2017","6","1","English","Twitter Web Client","Tweet","","0","1",0
"54","54","907727737758023680","This is the worst TIFF film I've seen this year. May it remain such.","AADowd","AADowd","Tue Sep 12 22:08:52 +0000 2017","2","0","English","Twitter Web Client","Reply","","0","0",0
"55","55","907730654514860033","WHAT WILL PEOPLE SAY: Westernized teen ground up by gears of Pakistani fundamentalism. Grueling/disturbing, but that's about all. #TIFF17","AADowd","AADowd","Tue Sep 12 22:20:27 +0000 2017","0","0","English","Twitter Web Client","Tweet","","0","1",0
"56","56","907740091107434497","I'm honored to have been invited by @Screendaily to participate in the #TIFF17 Platform critics jury. https://t.co/uzfHnemM6U","AADowd","AADowd","Tue Sep 12 22:57:57 +0000 2017","12","0","English","Twitter Web Client","Tweet","","1","1",1
"57","57","907740889484853248","As such, I've seen most of the titles in Toronto's third-annual competition lineup. At least one is terrific. At least one is atrocious.","AADowd","AADowd","Tue Sep 12 23:01:07 +0000 2017","3","0","English","Twitter Web Client","Reply","","0","0",0
"58","58","907833039295836166","BRAWL IN CELL BLOCK 99 preserves brutality and roundabout, dialogue-driven pleasures of BONE TOMAHAWK. Do wish it was shot better. #TIFF17","AADowd","AADowd","Wed Sep 13 05:07:17 +0000 2017","19","2","English","Twitter for Android","Tweet","","0","1",0
"59","59","907833954312613889","@jasonosia That may be what it was going for. I thought it looked cheap, ugly, and sometimes detrimentally underlit.","AADowd","AADowd","Wed Sep 13 05:10:56 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",1
"60","60","907834409272987655","@randallcolburn Fun! It's a Bruce Willis role augmented with some of his trademark quick sarcasm. He hasn't been this funny in a minute.","AADowd","AADowd","Wed Sep 13 05:12:44 +0000 2017","1","0","English","Twitter for Android","Reply","","0","0",1
"61","61","907840490502049792","@NoelMu This explains your unforgivable pan of THE PROPOSITION a decade ago.","AADowd","AADowd","Wed Sep 13 05:36:54 +0000 2017","5","0","English","Twitter Web Client","Reply","","0","0",1
"62","62","907841976451596288","@vjmfilms @NoelMu Let's argue about it over a Foster's.","AADowd","AADowd","Wed Sep 13 05:42:48 +0000 2017","0","0","English","Twitter Web Client","Reply","","0","0",2
"63","63","907856462311030784","@ManiLazic It's quite good, but that's gonna be a tough sit on, like, five hours of sleep.","AADowd","AADowd","Wed Sep 13 06:40:22 +0000 2017","1","0","English","Twitter Web Client","Reply","","0","0",1
"64","64","907950149703368704","Going to catch up with MOTHER! on my final day of #TIFF17, and also maybe some Nic Cage insanity with MOM AND DAD. Otherwise, writing.","AADowd","AADowd","Wed Sep 13 12:52:39 +0000 2017","7","0","English","Twitter for Android","Tweet","","0","1",0
"65","65","908008343868002304","My #TIFF17 take on Guillermo Del Toro's THE SHAPE OF WATER. https://t.co/ER5cOVZypl","AADowd","AADowd","Wed Sep 13 16:43:53 +0000 2017","6","1","English","Twitter Web Client","Tweet","","1","1",0
"66","66","908012134008635393","@jordanzadler Fuck, you're right. Good catch.","AADowd","AADowd","Wed Sep 13 16:58:57 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",1
"67","67","908019273745940480","@mattsinger Withering disapproval from @benkenigsberg in 5, 4, 3...","AADowd","AADowd","Wed Sep 13 17:27:19 +0000 2017","1","0","English","Twitter for Android","Reply","","0","0",2
"68","68","908020235927560193","@Astrostic #BringBackTrumpRatings","AADowd","AADowd","Wed Sep 13 17:31:09 +0000 2017","1","0","Undetermined","Twitter for Android","Reply","","0","1",1
"69","69","908024927734734848","@EriktheMovieman The good news is that you're about to see a great movie.","AADowd","AADowd","Wed Sep 13 17:49:47 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",1
"70","70","908026650045976576","Loved reading these Emmy predictions and preferences from @ErikMAdams. Team ATLANTA! https://t.co/V0Wkx3VsQd","AADowd","AADowd","Wed Sep 13 17:56:38 +0000 2017","4","0","English","Twitter for Android","Tweet","","1","0",1
"71","71","908060134072602624","Lol that I ever assumed MOTHER! was going to be straight genre exercise. Feels bolder, more personal than anything Aronofsky's made. #TIFF17","AADowd","AADowd","Wed Sep 13 20:09:41 +0000 2017","21","6","English","Twitter for Android","Tweet","","0","1",0
"72","72","908060458329964549","Also, do some people think this movie is about religious? Only in so much that artists think they're God.","AADowd","AADowd","Wed Sep 13 20:10:58 +0000 2017","5","0","English","Twitter for Android","Reply","","0","0",0
"73","73","908061465369825281","@MWilson10 The latter? No, RAZZIA. But EUPHORIA is bad, too.","AADowd","AADowd","Wed Sep 13 20:14:58 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",1
"74","74","908061644537958402","@RussTop3Ever These tweets should make you more interested in seeing it, not less. ""Bold"" is always a compliment.","AADowd","AADowd","Wed Sep 13 20:15:41 +0000 2017","1","0","English","Twitter for Android","Reply","","0","0",1
"75","75","908062599295766528","@thejoshl Or the wife of a celebrity, anyway.","AADowd","AADowd","Wed Sep 13 20:19:29 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",1
"76","76","908082644172156928","@mattcasill Tons of religious imagery. Again, I just think he's equating mega-celebrity to religion. This is a movie about loving an artist.","AADowd","AADowd","Wed Sep 13 21:39:08 +0000 2017","1","0","English","Twitter for Android","Reply","","0","0",1
"77","77","908091589381296136","@fauxbeatpoet Oh lord. Set down your subscription to The Believer for 100 minutes Vikram and let these fictional characters have ""Crash.""","AADowd","AADowd","Wed Sep 13 22:14:41 +0000 2017","1","0","English","Twitter Web Client","Reply","","0","0",1
"78","78","908092559616081920","@fauxbeatpoet Putting a lame pop song in a moving new context is an amazing move, in my book. You don't need to like the song to feel the moment.","AADowd","AADowd","Wed Sep 13 22:18:32 +0000 2017","0","0","English","Twitter Web Client","Reply","","0","0",1
"79","79","908093381653528579","@fauxbeatpoet https://t.co/b744N3O9kQ","AADowd","AADowd","Wed Sep 13 22:21:48 +0000 2017","2","0","Undetermined","Twitter Web Client","Reply","","1","0",1
"80","80","908102129390366720","Anytime I see Martin Shkreli trending I assume Trump gave him a cabinet position.","AADowd","AADowd","Wed Sep 13 22:56:34 +0000 2017","0","0","English","Twitter Web Client","Retweet","","0","0",0
"81","81","908116042941165568","@strausspeter That's my favorite.","AADowd","AADowd","Wed Sep 13 23:51:51 +0000 2017","0","0","English","Twitter for Android","Tweet","","0","0",0
"82","82","908121265826942977","Festival time is weird. This year, I feel like I've been in Toronto for one very long day, just with some long naps smuggled in there.","AADowd","AADowd","Thu Sep 14 00:12:36 +0000 2017","12","1","English","Twitter Web Client","Tweet","","0","0",0
"83","83","908174041764294661","@eddie_mouradian Closer to REQUIEM than INSIDE OUT on your freak-out scale. Like IT COMES AT NIGHT, it's more about emotional distress than physical danger.","AADowd","AADowd","Thu Sep 14 03:42:19 +0000 2017","1","0","English","Twitter Web Client","Reply","","0","0",1
"84","84","908174781375184896","MOM AND DAD: Lunatic black comedy could have used a tighter hand on the wheel, but a great premise (and Nic Cage) pull it through. #TIFF17","AADowd","AADowd","Thu Sep 14 03:45:15 +0000 2017","10","0","English","Twitter Web Client","Tweet","","0","1",0
"85","85","908175515973976065","SWEET COUNTRY: Soulful outback oater (ahem, @rockmarooned) with loads of Ozploitation flavor. My favorite of the #TIFF17 Platform lineup.","AADowd","AADowd","Thu Sep 14 03:48:10 +0000 2017","2","0","English","Twitter Web Client","Tweet","","0","1",1
"86","86","908180459972067328","CUSTODY: Tough, brutally truthful portrait of a parental tyrant. If you grew up in the orbit of one, this will drain you. #TIFF17","AADowd","AADowd","Thu Sep 14 04:07:49 +0000 2017","2","0","English","Twitter Web Client","Tweet","","0","1",0
"87","87","908180534395850758","@garymschultz He's very funny in this.","AADowd","AADowd","Thu Sep 14 04:08:07 +0000 2017","1","0","English","Twitter Web Client","Reply","","0","0",1
"88","88","908181059895996417","No more #TIFF17 movies for me‚§"we fly back to Chicago tomorrow. But I will drop at least one more dispatch.","AADowd","AADowd","Thu Sep 14 04:10:12 +0000 2017","5","0","English","Twitter Web Client","Tweet","","0","1",0
"89","89","908181703004483585","@NextChamp It's good. Just doesn't offer much more than a realistic depiction of a pathetic, abusive parental figure &amp; what it's like to live under one","AADowd","AADowd","Thu Sep 14 04:12:45 +0000 2017","0","0","English","Twitter Web Client","Reply","","0","0",1
"90","90","908184218747928576","@NextChamp Fair point. Being dogpiled with misery can be hard to endure.","AADowd","AADowd","Thu Sep 14 04:22:45 +0000 2017","0","0","English","Twitter Web Client","Reply","","0","0",1
"91","91","908325924835381248","@zhandlen Plenty of good reasons to hate them, but my fave: Unlike slashers, they're just boring as hell black box acting exercises.","AADowd","AADowd","Thu Sep 14 13:45:51 +0000 2017","2","0","English","Twitter for Android","Reply","","0","0",1
"92","92","908338276049805312","My five favorites from #TIFF17: 1. LADY BIRD, 2. MOTHER!, 3. ZAMA, 4. LEAN ON PETE, 5. SWEET COUNTRY.","AADowd","AADowd","Thu Sep 14 14:34:55 +0000 2017","23","4","English","Twitter Web Client","Tweet","","0","1",0
"93","93","908338583710433282","This excludes excellent stuff I saw at other festivals, of course, so no CALL ME BY YOUR NAME, THE SQUARE, or THE FLORIDA PROJECT.","AADowd","AADowd","Thu Sep 14 14:36:09 +0000 2017","9","0","English","Twitter Web Client","Reply","","0","0",0
"94","94","908339860599181312","Didn't write about everything significant I saw here, like ROMAN J. ISRAEL or BRAWL IN CELL BLOCK 99. But I will when they hit theaters.","AADowd","AADowd","Thu Sep 14 14:41:13 +0000 2017","5","0","English","Twitter Web Client","Tweet","","0","0",0
"95","95","908355614497271808","On my way to the airport after another hectic, exciting, jam-packed TIFF. See you next year, Toronto!","AADowd","AADowd","Thu Sep 14 15:43:49 +0000 2017","8","0","English","Twitter for Android","Tweet","","0","0",0
"96","96","908355910074077184","@scott_tobias @katerbland Play dead!","AADowd","AADowd","Thu Sep 14 15:45:00 +0000 2017","3","0","English","Twitter for Android","Reply","","0","0",2
"97","97","908356828945375232","As always, great to see a bunch of critic friends. They're like the indoor-kid version of camp friends!","AADowd","AADowd","Thu Sep 14 15:48:39 +0000 2017","5","0","English","Twitter for Android","Reply","","0","0",0
"98","98","908370512560226304","If there's a hell and if I end up there, it will be an airport.","AADowd","AADowd","Thu Sep 14 16:43:01 +0000 2017","12","1","English","Twitter for Android","Tweet","","0","0",0
"99","99","908375496135757824","@PenzeyMoog They are kingdoms of the damned: unhappy people being herded like cattle by unhappy people.","AADowd","AADowd","Thu Sep 14 17:02:49 +0000 2017","1","0","English","Twitter for Android","Reply","","0","0",1
"100","100","908392387441029120","@scott_tobias How you feeling about your flying choices now, Scott?","AADowd","AADowd","Thu Sep 14 18:09:56 +0000 2017","4","0","English","Twitter for Android","Reply","","0","0",1
"101","101","908392756883705861","@Honors_Zombie THE RELIC is tons of fun. Love the monster in that one. Also: Chicago, baby!","AADowd","AADowd","Thu Sep 14 18:11:25 +0000 2017","4","0","English","Twitter for Android","Reply","","0","0",1
"102","102","908393104385957890","@Honors_Zombie New York was all, ""We won't let you disrespect our museum by shooting a monster movie there."" Chicago: ""Is the monster cool?""","AADowd","AADowd","Thu Sep 14 18:12:47 +0000 2017","2","0","English","Twitter for Android","Reply","","0","0",1
"103","103","908393686102310913","@Honors_Zombie Also, definitely saw RUNESTONE on Cinemax as a kid. Only thing I remember is feeling sad when Runestone killed some beat cop.","AADowd","AADowd","Thu Sep 14 18:15:06 +0000 2017","2","0","English","Twitter for Android","Reply","","0","0",1
"104","104","908396689521770496","@Books_Not_Wooks Delbert Mann, Wyler, Malle, Felini, Coppola, Soderbergh, Tarantino, Polanski, Michael Moore.","AADowd","AADowd","Thu Sep 14 18:27:02 +0000 2017","0","0","German","Twitter for Android","Reply","","0","0",1
"105","105","908413915591331841","@rockmarooned Has @fauxbeatpoet voted? He's a DMB superfan.","AADowd","AADowd","Thu Sep 14 19:35:29 +0000 2017","1","0","English","Twitter for Android","Reply","","0","0",2
"106","106","908414738295672832","@Books_Not_Wooks Ohhhhhh, *living.*","AADowd","AADowd","Thu Sep 14 19:38:45 +0000 2017","1","0","English","Twitter for Android","Reply","","0","0",1
"107","107","908422727098396673","@BigBennyBear RAZZIA, for sure. Though both EUPHORIA and ROMAN J. ISRAEL were bad, too.","AADowd","AADowd","Thu Sep 14 20:10:30 +0000 2017","0","0","English","Twitter for Android","Tweet","","0","0",1
"108","108","908425500401553408","@cg_mann @BigBennyBear I know some huge DUPLICITY fans that would object to calling Tony a one-hit wonder.","AADowd","AADowd","Thu Sep 14 20:21:31 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",2
"109","109","908426101197860869","@cg_mann @BigBennyBear Not huge, but it's good. Worth seeing!","AADowd","AADowd","Thu Sep 14 20:23:54 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",2
"110","110","908427825723723777","@cg_mann @BigBennyBear Kind of apples and oranges, honestly. But no, CLAYTON is better.","AADowd","AADowd","Thu Sep 14 20:30:46 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",2
"111","111","908461066312667136","@ToddDetmold And 300 is on the TVs not playing sports.","AADowd","AADowd","Thu Sep 14 22:42:51 +0000 2017","0","0","English","Twitter for Android","Reply","","0","0",1
"112","112","908467738921889793","@ToddDetmold This is your masterpiece. I just hope The Devil doesn't follow you on Twitter.","AADowd","AADowd","Thu Sep 14 23:09:22 +0000 2017","1","0","English","Twitter for Android","Reply","","0","0",1
"113","113","908473152933679105","Okay, so movies are great, Toronto, Greta Gerwig, Aronofsky, etc. But I just caught up with this week's RICK AND MORTY and ho. lee. shit.","AADowd","AADowd","Thu Sep 14 23:30:52 +0000 2017","36","0","English","Twitter Web Client","Tweet","","0","0",0
"114","114","908473622217592832","@teeeeoooooo Yeah, this show just doesn't quit. Keeps surprising me with its brilliance, week after week.","AADowd","AADowd","Thu Sep 14 23:32:44 +0000 2017","1","0","English","Twitter Web Client","Reply","","0","0",1
"115","115","908495025306206208","@jasonosia Jason.","AADowd","AADowd","Fri Sep 15 00:57:47 +0000 2017","2","0","English","Twitter for Android","Reply","","0","0",1
"116","116","908771064125288448","@jasonosia I've seen CUSTODY and it's quite good, albeit tough.","AADowd","AADowd","Fri Sep 15 19:14:40 +0000 2017","0","0","English","Twitter Web Client","Reply","","0","0",1
"117","117","908777197158232064","Laurie Strode killed Michael Myers. Michael Myers killed Laurie Strode. When will the cycle of killing end?? Are they doomed to it forever?","AADowd","AADowd","Fri Sep 15 19:39:02 +0000 2017","11","2","English","Twitter Web Client","Tweet","","0","0",0
"118","118","908777596334350336","Also, will DAVID GORDON GREEN PRESENTS HALLOWEEN toss out the Busta sequel, the same way H20 tossed out parts 4-6? Let's hope!","AADowd","AADowd","Fri Sep 15 19:40:37 +0000 2017","4","0","English","Twitter Web Client","Reply","","0","0",0
"119","119","908778471052267520","@whiskeyricardo Not possible to incorporate it all, tho. 4 + 5 say that Laurie died in an offscreen car crash. And she pretty clearly dies in RESURRECTION.","AADowd","AADowd","Fri Sep 15 19:44:06 +0000 2017","0","0","English","Twitter Web Client","Tweet","","0","0",0
"120","120","908778568892715008","@whiskeyricardo Or am I taking this way too seriously?","AADowd","AADowd","Fri Sep 15 19:44:29 +0000 2017","0","0","English","Twitter Web Client","Reply","","0","0",0
"121","121","908778843946831872","@fauxbeatpoet This rant is inspired by news, bud. https://t.co/yK6bMyr6g6","AADowd","AADowd","Fri Sep 15 19:45:35 +0000 2017","1","0","English","Twitter Web Client","Reply","","1","0",1
"122","122","908779872713101312","@alifefilmodic @whiskeyricardo Did they establish that? I thought H20 just retconned the fourth, fifth, and sixth films out of existence, but I could be wrong.","AADowd","AADowd","Fri Sep 15 19:49:40 +0000 2017","0","0","English","Twitter Web Client","Reply","","0","0",1
